Target,Source,BDeu
AT2G37090,AT1G56650,-9.88751059812843
AT2G37090,AT1G74500,-9.88751059812843
AT2G37090,AT2G40970,-9.88751059812843
AT2G37090,AT3G03450,-9.88751059812843
AT2G37090,AT3G17600,-9.88751059812843
AT2G37090,AT3G27650,-9.88751059812843
AT2G37090,AT3G56970,-9.88751059812843
AT2G37090,AT4G00150,-9.88751059812843
AT2G37090,AT4G01250,-9.88751059812843
AT2G37090,AT4G06746,-9.88751059812843
AT2G37090,AT4G14540,-9.88751059812843
AT2G37090,AT4G27900,-9.88751059812843
AT2G37090,AT4G29080,-9.88751059812843
AT2G37090,AT4G39780,-9.88751059812843
AT2G37090,AT5G19790,-9.88751059812843
AT2G37090,AT5G22890,-9.88751059812843
AT2G37090,AT5G25890,-9.88751059812843
AT2G37090,AT5G58010,-9.88751059812843
AT2G37090,AT2G37740,-9.88751059812843
AT2G37090,AT5G57520,-36.3145589097344
AT2G37090,AT2G46990,-36.5769231742011
AT2G37090,AT2G22770,-36.902345574635
AT2G37090,AT1G49475,-37.4777097195377
AT2G37090,AT1G71030,-37.4777097195377
AT2G37090,AT1G77450,-37.4777097195377
AT2G37090,AT2G25900,-37.4777097195377
AT2G37090,AT3G01970,-37.4777097195377
AT2G37090,AT3G16770,-37.4777097195377
AT2G37090,AT3G60530,-37.4777097195377
AT2G37090,AT4G00180,-37.4777097195377
AT2G37090,AT4G00730,-37.4777097195377
AT2G37090,AT4G29930,-37.4777097195377
AT2G37090,AT5G12330,-37.4777097195377
AT2G37090,AT5G17490,-37.4777097195377
AT2G37090,AT5G51790,-37.4777097195377
AT2G37090,AT1G01380,-39.49261274005
AT2G37090,AT3G58710,-39.8467845537699
AT2G37090,AT5G47230,-41.0077399729996
AT2G37090,AT5G17810,-41.6028259403773
AT2G37090,AT1G44830,-42.1493696467489
AT2G37090,AT1G79840,-42.1493696467489
AT2G37090,AT5G67060,-42.7814809367132
AT2G37090,AT5G64750,-44.0952797957947
AT2G37090,AT2G22430,-44.0952797957947
AT2G37090,AT3G02940,-44.0952797957947
AT2G37090,AT1G72360,-44.7919296068991
AT2G37090,AT1G52830,-46.1900584256609
AT2G37090,AT4G09460,-48.7123785526319
AT2G37090,AT1G29160,-49.9853442284414
AT2G37090,AT2G47890,-49.9853442284414
AT2G37090,AT5G10120,-51.7199452838245
AT2G37090,AT1G49130,-52.2626115134457
AT2G37090,AT3G58190,-53.2922309306248
AT2G37090,AT4G28110,-53.2922309306248
AT2G37090,AT1G66140,-53.2922309306248
AT2G37090,AT1G36060,-53.2922309306248
AT2G37090,AT1G43160,-53.2922309306248
AT2G37090,AT2G23340,-53.2922309306248
AT2G37090,AT3G03660,-53.2922309306248
AT2G37090,AT5G12870,-53.2922309306248
AT2G37090,AT3G15030,-54.261631487811
AT2G37090,AT5G53660,-54.261631487811
AT2G37090,AT1G74840,-54.261631487811
AT2G37090,AT1G47760,-54.261631487811
AT2G37090,AT1G17310,-55.1779222196835
AT2G37090,AT2G43140,-55.1779222196835
AT2G37090,AT2G25820,-55.1779222196835
AT2G37090,AT3G50330,-55.1779222196835
AT2G37090,AT5G03740,-55.1779222196835
AT2G37090,AT3G06740,-55.1779222196835
AT2G37090,AT3G61630,-55.1779222196835
AT2G37090,AT4G37540,-55.1779222196835
AT2G37090,AT4G11140,-56.0469600667056
AT2G37090,AT4G17500,-56.0469600667056
AT2G37090,AT5G48890,-56.0469600667056
AT2G37090,AT1G42990,-56.0469600667056
AT2G37090,AT4G31550,-56.0469600667056
AT2G37090,AT5G47640,-56.0469600667056
AT2G37090,AT4G05100,-56.0469600667056
AT2G37090,AT5G51780,-56.0469600667056
AT2G37090,AT1G57560,-56.2411160811461
AT2G37090,AT2G28550,-56.2411160811461
AT2G37090,AT5G10970,-56.2411160811461
AT2G37090,AT5G08330,-56.2411160811461
AT2G37090,AT5G23280,-56.3056546022836
AT2G37090,AT1G06180,-64.3430129620737
AT2G37090,AT1G52890,-66.6326108595103
AT2G37090,AT5G41570,-72.9624988633388
AT2G37090,AT5G47220,-77.4236946003765
AT2G37090,AT3G02550,-78.7722486335088
AT2G37090,AT4G16750,-79.2014020246451
AT2G37090,AT3G49930,-81.8004028700519
AT2G37090,AT3G10040,-81.9829276911658
AT2G37090,AT5G53980,-82.5628038770946
AT2G37090,AT1G68840,-82.8927459085244
AT2G37090,AT1G64380,-83.1987926438129
AT2G37090,AT4G25470,-83.1987926438129
AT2G37090,AT2G36080,-83.1987926438129
AT2G37090,AT3G60630,-83.1987926438129
AT2G37090,AT5G13910,-83.4557112365597
AT2G37090,AT3G56400,-83.8958537236929
AT2G37090,AT3G15210,-86.0359198871588
AT2G37090,AT5G60850,-86.6860896434518
AT2G37090,AT3G19580,-87.6389195019601
AT2G37090,AT1G53230,-88.2749082686784
AT2G37090,AT3G60390,-88.7962710619415
AT2G37090,AT5G43170,-89.3374756239468
AT2G37090,AT5G44260,-89.3979855394457
AT2G37090,AT1G67100,-89.7050105747402
AT2G37090,AT2G46970,-89.9857722043443
AT2G37090,AT5G06710,-90.185806008949
AT2G37090,AT4G14550,-90.6100412197352
AT2G37090,AT5G39610,-90.6208955447856
AT2G37090,AT3G25730,-106.066238513437
AT2G37090,AT2G45160,-107.857056172965
AT2G37090,AT1G28370,-111.525598144536
AT2G37090,AT3G23240,-112.91482076543
AT2G37090,AT1G25560,-113.944123147948
